id,age
1,24.425983428955078
2,23.079925537109375
3,17.63716697692871
4,20.860300064086914
5,24.647201538085938
6,27.401819229125977
7,48.80387496948242
8,47.914119720458984
9,56.453269958496094
10,63.342830657958984
11,64.33081817626953
12,68.8050765991211
13,73.2869873046875
14,71.79325103759766
15,16.82441520690918
16,20.204118728637695
17,16.42481231689453
18,32.51668930053711
19,20.572431564331055
20,27.096763610839844
21,53.19078826904297
22,64.9747543334961
23,53.89324188232422
24,73.43902587890625
25,56.201011657714844
26,58.29599380493164
27,62.894351959228516
28,60.821739196777344
